Serial Number,Product Category,Product Name,Platform,Launch Price,Current Price,Discount Percentage,Ratings,Reviews Count,Stock Status,Sale Event,Condition,Date,Color,RAM,Storage
1,AirPods,AirPods 2,Amazon,83941,75100,10.53,4.1,7998,Low Stock,Great Indian Festival,Refurbished,2024-07-21,Titanium,24GB,256GB
2,AirPods,AirPods 2,Flipkart,272125,230323,15.36,4.7,27743,Out of Stock,Diwali Sale,New,2025-07-31,Gold,6GB,1TB
3,AirPods,AirPods 2,Flipkart,27297,22830,16.36,4.7,38302,Low Stock,Republic Day Sale,Refurbished,2024-11-12,Space Gray,24GB,1TB
4,AirPods,AirPods 2,Croma,141289,126103,10.75,4.2,15743,Out of Stock,Great Indian Festival,New,2024-07-17,White,36GB,128GB
5,AirPods,AirPods 2,Croma,292253,213216,27.04,4.5,40298,Pre-order,Diwali Sale,Refurbished,2025-04-23,Blue,6GB,1TB
6,AirPods,AirPods 2,Amazon,309487,222581,28.08,4.8,7326,In Stock,Great Indian Festival,New,2023-01-12,Green,6GB,512GB
7,AirPods,AirPods 2,Amazon,85213,78230,8.19,4.8,40410,Pre-order,No Sale,Refurbished,2026-10-16,Green,36GB,1TB
8,AirPods,AirPods 2,Flipkart,184559,156259,15.33,4.6,20358,In Stock,Big Billion Days,Refurbished,2026-05-15,Black,8GB,128GB
9,AirPods,AirPods 2,Reliance Digital,30667,24379,20.5,4.7,513,In Stock,Republic Day Sale,Refurbished,2023-11-06,Silver,4GB,1TB
10,AirPods,AirPods 2,Croma,274216,273863,0.13,4.2,2871,Out of Stock,No Sale,Refurbished,2026-02-24,Titanium,6GB,128GB
11,AirPods,AirPods 2,Reliance Digital,252030,208234,17.38,4.2,224,Pre-order,No Sale,Refurbished,2025-02-24,Titanium,16GB,1TB
12,AirPods,AirPods 2,Flipkart,64465,47666,26.06,4.3,35581,Out of Stock,Great Indian Festival,Refurbished,2026-06-02,Blue,16GB,128GB
13,AirPods,AirPods 2,Flipkart,43975,30981,29.55,4.7,41980,Pre-order,Diwali Sale,Refurbished,2026-07-25,Midnight,6GB,128GB
14,AirPods,AirPods 2,Amazon,261115,260310,0.31,4.6,2993,Pre-order,Great Indian Festival,Refurbished,2026-01-09,White,24GB,512GB
15,AirPods,AirPods 2,Croma,220902,212448,3.83,4.1,21427,Pre-order,Great Indian Festival,Refurbished,2026-03-31,Blue,16GB,128GB
16,AirPods,AirPods 2,Amazon,200076,177282,11.39,4.5,4487,Out of Stock,Big Billion Days,Refurbished,2024-06-11,White,24GB,512GB
17,AirPods,AirPods 2,Reliance Digital,99541,69846,29.83,4.9,5564,Pre-order,Big Billion Days,Refurbished,2025-11-21,Black,8GB,128GB
18,AirPods,AirPods 2,Croma,323619,243206,24.85,4.8,40001,Out of Stock,Republic Day Sale,New,2024-10-16,Pink,6GB,1TB
19,AirPods,AirPods 2,Amazon,270036,249645,7.55,4.4,39224,Low Stock,No Sale,Refurbished,2025-09-05,Space Gray,24GB,256GB
20,AirPods,AirPods 2,Flipkart,94146,90017,4.39,4.0,17944,Low Stock,Great Indian Festival,Refurbished,2026-03-27,Pink,8GB,512GB
21,AirPods,AirPods 2,Amazon,337905,281244,16.77,4.8,14643,Pre-order,Republic Day Sale,Refurbished,2026-04-26,Titanium,4GB,128GB
22,AirPods,AirPods 2,Croma,316266,287143,9.21,4.5,41087,In Stock,Republic Day Sale,Refurbished,2025-11-07,Midnight,24GB,256GB
23,AirPods,AirPods 2,Amazon,271551,217135,20.04,4.5,14309,Pre-order,Republic Day Sale,New,2023-10-01,Gold,16GB,128GB
24,AirPods,AirPods 2,Flipkart,309568,224202,27.58,4.4,31492,In Stock,Republic Day Sale,New,2023-11-02,Blue,8GB,256GB
25,AirPods,AirPods 2,Flipkart,263194,221113,15.99,4.6,7525,In Stock,Republic Day Sale,Refurbished,2023-09-23,Black,8GB,256GB
26,AirPods,AirPods 2,Reliance Digital,111048,83527,24.78,4.2,12738,Pre-order,Big Billion Days,Refurbished,2026-10-04,Black,24GB,256GB
27,AirPods,AirPods 2,Amazon,253414,232152,8.39,4.7,22274,Pre-order,Diwali Sale,New,2023-09-20,Black,36GB,128GB
28,AirPods,AirPods 2,Amazon,206424,205613,0.39,4.4,16188,Out of Stock,Republic Day Sale,New,2026-03-02,Gold,24GB,128GB
29,AirPods,AirPods 2,Flipkart,280190,216656,22.68,4.6,32324,Pre-order,Diwali Sale,Refurbished,2023-11-13,Pink,24GB,512GB
30,AirPods,AirPods 2,Amazon,57178,44499,22.17,4.0,4846,Low Stock,Big Billion Days,Refurbished,2023-11-16,Green,8GB,128GB
31,AirPods,AirPods 2,Reliance Digital,218901,176141,19.53,5.0,6539,Pre-order,Diwali Sale,Refurbished,2023-07-22,Midnight,16GB,512GB
32,AirPods,AirPods 2,Reliance Digital,81318,79808,1.86,4.8,46448,In Stock,Great Indian Festival,Refurbished,2025-05-20,Titanium,16GB,128GB
